iter	RMSE
0	0.484664374
1	0.482263109
2	0.4791001102
3	0.4762529252
4	0.4741908148
5	0.4734712299
6	0.4718291606
7	0.4695660157
8	0.4672048875
9	0.4644351337
10	0.4626431697
11	0.45947282
12	0.4579924447
13	0.4554601826
14	0.4533084134
15	0.4514978606
16	0.448075229
17	0.446435769
18	0.4440869559
19	0.4418020635
20	0.4403621628
21	0.4375335051
22	0.435929014
23	0.4341049569
24	0.4324208731
25	0.4304273587
26	0.4281691805
27	0.4262876252
28	0.4238691673
29	0.4213306744
30	0.4188222181
31	0.414968357
32	0.4125507095
33	0.4109062877
34	0.4097980209
35	0.408839457
36	0.4070563441
37	0.4056962354
38	0.4024429219
39	0.3997925919
40	0.3985918282
41	0.3963358764
42	0.3947020321
43	0.3932871965
44	0.3916559786
45	0.3895706109
46	0.3876112084
47	0.3863274716
48	0.3833221431
49	0.3810804983
50	0.3787278968
51	0.3772385549
52	0.3747186433
53	0.3736462597
54	0.3719575326
55	0.3705541801
56	0.3691957459
57	0.3676778263
58	0.3662126252
59	0.3651649221
60	0.3641384644
61	0.3629474237
62	0.362166939
63	0.3603397065
64	0.3588425655
65	0.356542393
66	0.3542685698
67	0.3527526241
68	0.3505725939
69	0.3496267929
70	0.347816655
71	0.3461621588
72	0.3442303578
73	0.3424737556
74	0.3411448522
75	0.3389241025
76	0.3373678492
77	0.3360310276
78	0.3353471292
79	0.3335617438
80	0.3318752225
81	0.3295780241
82	0.3278517899
83	0.3258254636
84	0.3244352372
85	0.3237035219
86	0.3228345518
87	0.321579566
88	0.320831062
89	0.3191569175
90	0.3178625015
91	0.3167813996
92	0.3153157242
93	0.3135360654
94	0.3127414257
95	0.3108238456
96	0.3094974652
97	0.30819163
98	0.3064375376
99	0.3058108331
100	0.3041757252
101	0.3029557739
102	0.3019380898
103	0.2999184417
104	0.299131311
105	0.2980824967
106	0.2969369705
107	0.2959227435
108	0.2943279084
109	0.2932772217
110	0.2923448706
111	0.2916153975
112	0.2906325801
113	0.2891542732
114	0.2877439497
115	0.2859811749
116	0.2852813988
117	0.2837004053
118	0.2821564554
119	0.2814303639
120	0.2805661856
121	0.2789946299
122	0.2783156598
123	0.2772774645
124	0.2756355804
125	0.2750720312
126	0.2744581208
127	0.2728686146
128	0.2719754682
129	0.270744551
130	0.2695754119
131	0.2687705146
132	0.2674685075
133	0.2664702584
134	0.2653790984
135	0.2641372648
136	0.2633627568
137	0.2627421699
138	0.261203387
139	0.2601179323
140	0.2588634022
141	0.258331519
142	0.2575504348
143	0.2559652931
144	0.2545696175
145	0.2542253644
146	0.2534506395
147	0.2526180778
148	0.250829258
149	0.2491588546
150	0.248678496
151	0.2482268258
152	0.2464819395
153	0.245551024
154	0.2443733653
155	0.2430963648
156	0.2421841183
157	0.2416705636
158	0.2400032602
159	0.2396221607
160	0.2392964382
161	0.238146928
162	0.2368184589
163	0.2357991933
164	0.2342702723
165	0.2330218561
166	0.2324477524
167	0.2319533337
168	0.2306766401
169	0.2303397112
170	0.2294927519
171	0.2290589971
172	0.2286917554
173	0.2276691466
174	0.2273998418
175	0.2266370078
176	0.2252834145
177	0.2236688848
178	0.2225475488
179	0.2214449974
180	0.22098641
181	0.2193111552
182	0.2178720543
183	0.2175786993
184	0.2172050101
185	0.2168221664
186	0.2159899525
187	0.2156261441
188	0.2150794973
189	0.213894462
190	0.2133884685
191	0.2130534419
192	0.2127773113
193	0.2112843856
194	0.2101913595
195	0.2091263007
196	0.2087913097
197	0.2075090275
198	0.2069357192
199	0.2065316121
200	0.2052251313
201	0.2046895338
202	0.2038548446
203	0.2029777413
204	0.2024504827
205	0.2019446849
206	0.2009101197
207	0.199394661
208	0.1991099556
209	0.1980766309
210	0.1976499453
211	0.1973930654
212	0.1971261479
213	0.1964023369
214	0.1960808331
215	0.1949622567
216	0.1936635297
217	0.1933782378
218	0.1930833234
219	0.1928288659
220	0.1920077635
221	0.191466254
222	0.1911678534
223	0.1901346608
224	0.1896683441
225	0.1882947585
226	0.1880944271
227	0.1871360572
228	0.1869013018
229	0.1865892792
230	0.1863404568
231	0.1860774244
232	0.1857136789
233	0.1854160218
234	0.1848564052
235	0.1844256236
236	0.1841836515
237	0.183770858
238	0.1835002614
239	0.183233007
240	0.1829514923
241	0.1827644305
242	0.1816481536
243	0.1813013372
244	0.1807365709
245	0.179344851
246	0.1783891074
247	0.1773023548
248	0.17666466
249	0.1754895225
250	0.1751494567
251	0.1749593236
252	0.1747258476
253	0.1744595245
254	0.1738206439
255	0.1736611725
256	0.1724767688
257	0.1722470959
258	0.172067433
259	0.171696524
260	0.1709172851
261	0.1707061096
262	0.1698524046
263	0.1695783295
264	0.1694396083
265	0.1692176345
266	0.1685249563
267	0.1676771242
268	0.1674701153
269	0.1672049297
270	0.1665378595
271	0.1663620566
272	0.1656972176
273	0.1651722776
274	0.1639956334
275	0.1637149312
276	0.1631808064
277	0.1628063645
278	0.1624948625
279	0.1622454913
280	0.1614394484
281	0.1607738808
282	0.1605463137
283	0.1594698163
284	0.1592570115
285	0.1589232026
286	0.1587101475
287	0.1580224949
288	0.1575930128
289	0.1565354881
290	0.1562540776
291	0.1560727016
292	0.1549283091
293	0.1538512136
294	0.1536274817
295	0.153409073
296	0.1524636496
297	0.1514306414
298	0.1510531123
299	0.1507617348
300	0.1503408833
301	0.1500553221
302	0.1492899959
303	0.1482044957
304	0.1473293506
305	0.1471176155
306	0.1469380326
307	0.1462757995
308	0.1459621846
309	0.1447470042
310	0.1439544474
311	0.1437375004
312	0.1435148963
313	0.142380469
314	0.1414628847
315	0.140511189
316	0.1398059224
317	0.139574426
318	0.1390974993
319	0.1385546062
320	0.1375214111
321	0.1364544559
322	0.1363292299
323	0.1357978697
324	0.1356699334
325	0.1354429358
326	0.1349138827
327	0.1340289006
328	0.1330750911
329	0.1327203235
330	0.1325046641
331	0.1320149812
332	0.131890496
333	0.1311049675
334	0.1307967943
335	0.1305995025
336	0.1304231396
337	0.1299880839
338	0.1289801361
339	0.1288709921
340	0.1287366487
341	0.1278852467
342	0.1272169575
343	0.1269199547
344	0.1266859241
345	0.1264945856
346	0.1263601756
347	0.1259151692
348	0.1252639623
349	0.1251728297
350	0.1250642697
351	0.124958382
352	0.1248029807
353	0.1244759766
354	0.1242952985
355	0.1234813796
356	0.1232373882
357	0.1226089754
358	0.1224429943
359	0.1221604661
360	0.1219387192
