iter	Passed	Remaining
0	140	140002
1	141	70553
2	142	47362
3	143	35749
4	144	28844
5	146	24205
6	147	20879
7	148	18392
8	149	16481
9	152	15072
10	154	13867
11	155	12811
12	156	11904
13	157	11127
14	159	10453
15	160	9863
16	161	9343
17	162	8884
18	164	8468
19	165	8128
20	168	7842
21	169	7529
22	170	7245
23	171	6987
24	172	6746
25	174	6526
26	175	6320
27	176	6135
28	178	5960
29	179	5795
30	181	5670
31	183	5535
32	184	5398
33	185	5268
34	186	5155
35	188	5039
36	189	4929
37	190	4824
38	191	4730
39	193	4641
40	195	4567
41	197	4512
42	199	4443
43	201	4370
44	202	4300
45	204	4235
46	205	4169
47	207	4105
48	208	4042
49	210	4005
50	213	3965
51	215	3923
52	216	3868
53	217	3813
54	219	3763
55	220	3713
56	221	3665
57	222	3619
58	224	3580
59	228	3572
60	229	3537
61	231	3498
62	233	3467
63	234	3427
64	235	3391
65	237	3354
66	238	3326
67	241	3315
68	243	3291
69	245	3258
70	246	3227
71	247	3196
72	249	3165
73	250	3136
74	252	3108
75	253	3081
76	256	3074
77	258	3050
78	259	3025
79	260	2999
80	262	2973
81	263	2947
82	264	2923
83	265	2900
84	267	2876
85	268	2853
86	270	2838
87	272	2827
88	274	2812
89	276	2791
90	277	2772
91	278	2753
92	280	2733
93	281	2714
94	283	2696
95	286	2693
96	288	2682
97	289	2666
98	291	2649
99	292	2632
100	293	2616
101	295	2600
102	296	2582
103	297	2566
104	299	2556
105	302	2552
106	304	2543
107	306	2530
108	307	2516
109	309	2502
110	310	2487
111	311	2472
112	313	2458
113	315	2453
114	318	2449
115	320	2438
116	321	2425
117	322	2412
118	324	2399
119	325	2386
120	326	2373
121	328	2361
122	330	2356
123	334	2361
124	336	2354
125	338	2346
126	339	2337
127	341	2326
128	343	2316
129	346	2321
130	349	2320
131	351	2310
132	353	2301
133	354	2291
134	356	2281
135	357	2271
136	360	2269
137	364	2277
138	366	2270
139	368	2263
140	370	2255
141	371	2247
142	373	2238
143	375	2233
144	380	2242
145	381	2233
146	383	2224
147	384	2215
148	386	2205
149	388	2200
150	392	2208
151	395	2206
152	396	2197
153	398	2188
154	399	2179
155	401	2172
156	403	2164
157	403	2152
158	406	2149
159	408	2147
160	410	2138
161	411	2131
162	413	2124
163	415	2116
164	416	2109
165	418	2101
166	419	2093
167	422	2090
168	423	2083
169	425	2076
170	427	2070
171	428	2062
172	430	2056
173	431	2049
174	433	2042
175	434	2035
176	437	2033
177	438	2026
178	440	2018
179	441	2010
180	442	2002
181	443	1994
182	445	1987
183	446	1980
184	447	1973
185	449	1966
186	451	1962
187	453	1956
188	454	1950
189	455	1943
190	457	1936
191	458	1931
192	460	1924
193	462	1922
194	464	1916
195	465	1910
196	467	1905
197	468	1899
198	470	1894
199	472	1889
200	474	1884
201	477	1887
202	479	1881
203	480	1875
204	482	1870
205	484	1866
206	485	1860
207	487	1854
208	488	1848
209	489	1842
210	491	1836
211	492	1830
212	493	1824
213	495	1818
214	496	1812
215	498	1809
216	499	1803
217	501	1797
218	502	1792
219	503	1786
220	505	1781
221	506	1775
222	508	1770
223	509	1764
224	510	1759
225	512	1753
226	514	1750
227	515	1744
228	516	1740
229	518	1735
230	519	1730
231	521	1725
232	522	1719
233	523	1714
234	525	1709
235	526	1704
236	528	1702
237	530	1697
238	531	1692
239	533	1688
240	534	1683
241	535	1678
242	537	1673
243	538	1668
244	539	1663
245	541	1659
246	542	1654
247	545	1652
248	546	1648
249	548	1644
250	549	1640
251	551	1635
252	552	1631
253	554	1628
254	555	1624
255	557	1621
256	560	1619
257	561	1615
258	563	1611
259	564	1607
260	566	1602
261	567	1598
262	569	1594
263	570	1590
264	572	1586
265	573	1583
