_id,status,sub_technology,technology,tool,work_type
14,ACTIVE,AWS,Java,Mobile Services,Coding & Development
15,ACTIVE,PaaS,Java,CloudFoundry,Coding & Development
16,ACTIVE,PaaS,Java,IBM Bluemix,Coding & Development
17,ACTIVE,DB2,Mainframe,DB2-DBA,Coding & Development
18,ACTIVE,Oracle_Apps DBA,Oracle,,Coding & Development
19,ACTIVE,Oracle_Apps Delivery Manager,Oracle,,Coding & Development
20,ACTIVE,Oracle_Apps Program Manager,Oracle,,Coding & Development
21,ACTIVE,Oracle_Apps Project Manager,Oracle,,Coding & Development
22,ACTIVE,Oracle_Apps Technical,Oracle,Oracle_Apps Technical_ADF,Coding & Development
23,ACTIVE,Oracle_Apps Technical,Oracle,Oracle_Apps Technical_OAF,Coding & Development
24,ACTIVE,Oracle_Apps Technical,Oracle,Oracle_Apps_Forms_Reports,Coding & Development
25,ACTIVE,Oracle_Apps Technical,Oracle,Oracle_Apps_Technical_MSCA,Coding & Development
26,ACTIVE,Oracle_CRM Cloud,Oracle,Oracle_CRM Fusion_RightNow Service,Coding & Development
27,ACTIVE,Oracle_CRM Cloud,Oracle,Oracle_CRM Fusion_Sales,Coding & Development
28,ACTIVE,Oracle_CRM Cloud,Oracle,Oracle_CRM Fusion_TOA_Field Service,Coding & Development
29,ACTIVE,Oracle_CRM Cloud,Oracle,Oracle_CRM Marketing_BlueKai,Coding & Development
30,ACTIVE,Oracle_CRM Cloud,Oracle,Oracle_CRM Marketing_Compendium,Coding & Development
31,ACTIVE,Oracle_CRM Cloud,Oracle,Oracle_CRM Marketing_Eloqua,Coding & Development
32,ACTIVE,Oracle_CRM Cloud,Oracle,Oracle_CRM Marketing_Responsys,Coding & Development
33,ACTIVE,Oracle_CRM Service,Oracle,Oracle_CRM Service_DepotRepair,Coding & Development
34,ACTIVE,Oracle_CRM Service,Oracle,Oracle_CRM Service_Field Service,Coding & Development
35,ACTIVE,Oracle_CRM Service,Oracle,Oracle_CRM Service_Install Base,Coding & Development
36,ACTIVE,Oracle_CRM Service,Oracle,Oracle_CRM_TeleService,Coding & Development
37,ACTIVE,Oracle_Financials,Oracle,Oracle_Financials_Accounts Payable,Coding & Development
38,ACTIVE,Oracle_Financials,Oracle,Oracle_Financials_Accounts Receivable,Coding & Development
39,ACTIVE,Oracle_Financials,Oracle,Oracle_Financials_Cash Management,Coding & Development
40,ACTIVE,Oracle_Financials,Oracle,Oracle_Financials_Fixed Assets,Coding & Development
41,ACTIVE,Oracle_Financials,Oracle,Oracle_Financials_General Ledger,Coding & Development
42,ACTIVE,Oracle_Financials Cloud,Oracle,Oracle_Financials Cloud_Accounts Payable,Coding & Development
43,ACTIVE,Oracle_Financials Cloud,Oracle,Oracle_Financials Cloud_Accounts Receivable,Coding & Development
44,ACTIVE,Oracle_Financials Cloud,Oracle,Oracle_Financials Cloud_Cash Management,Coding & Development
45,ACTIVE,Oracle_Financials Cloud,Oracle,Oracle_Financials Cloud_Fixed Assets,Coding & Development
46,ACTIVE,Oracle_Financials Cloud,Oracle,Oracle_Financials Cloud_General Ledger,Coding & Development
47,ACTIVE,Oracle_Fusion Technical,Oracle,Oracle_Fusion_Java,Coding & Development
48,ACTIVE,Oracle_Fusion Technical,Oracle,Oracle_Fusion_Technical,Coding & Development
49,ACTIVE,Oracle_Global Trade Management,Oracle,,Coding & Development
50,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_Advanced Benefits,Coding & Development
51,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_Compensation Workbench,Coding & Development
52,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_Core HR,Coding & Development
53,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_IRecruitment,Coding & Development
54,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_OTL,Coding & Development
55,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_Payroll,Coding & Development
56,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_Performance Management,Coding & Development
57,ACTIVE,Oracle_HCM,Oracle,Oracle_HCM_SSHR,Coding & Development
58,ACTIVE,Oracle_HCM_Cloud,Oracle,Oracle_HCM Cloud_Benefits,Coding & Development
59,ACTIVE,Oracle_HCM_Cloud,Oracle,Oracle_HCM Cloud_Global HR,Coding & Development
60,ACTIVE,Oracle_HCM_Cloud,Oracle,Oracle_HCM Cloud_Payroll,Coding & Development
61,ACTIVE,Oracle_HCM_Cloud,Oracle,Oracle_HCM Cloud_Talent Management,Coding & Development
62,ACTIVE,Oracle_HCM_Cloud,Oracle,Oracle_HCM Cloud_Time and Labor,Coding & Development
63,ACTIVE,Oracle_HCM_Cloud,Oracle,Oracle_HCM Cloud_Workforce Compensation,Coding & Development
